PARTICIPANT.NUMBER,AGE.IN.YEARS,GENDER,MAXIMUM.EDUCATIONAL.LEVEL,HANDEDNESS,PERCENTAGE.EXPOSED.SPANISH,PERCENTAGE.EXPOSED.BASQUE,PERCENTAGE.EXPOSED.ENGLISH,SELF.PERCEIVED.LEVEL.SPANISH,SELF.PERCEIVED.LEVEL.BASQUE,SELF.PERCEIVED.LEVEL.ENGLISH,INTERVIEW.MARK.SPANISH,INTERVIEW.MARK.BASQUE,INTERVIEW.MARK.ENGLISH,AGE.OF.ACQUISITION.SPANISH,AGE.OF.ACQUISITION.BASQUE,AGE.OF.ACQUISITION.ENGLISH,PICTURE.NAMING.TEST.SPANISH,PICTURE.NAMING.TEST.BASQUE,PICTURE.NAMING.TEST.ENGLISH,LEXTALE.TEST.SPANISH,LEXTALE.TEST.BASQUE,LEXTALE.TEST.ENGLISH
1,22,Female,High School,Right,40,40,20,10,9,5,5,5,3,0,3,5,63,52,33,88.33,89,58.75
2,21,Female,University,Right,70,20,10,10,9,7,5,5,4,0,0,5,65,57,59,85,92,72.5
3,30,Female,Postgraduate,Right,20,70,10,9,10,5,5,5,4,6,0,8,65,65,50,93.33,96,78.75
4,21,Female,University,Right,90,10,0,9,7,3,5,2,2,0,3,3,65,45,39,92.5,88,67.5
5,39,Female,Professional Training,Left,50,40,10,9,8,7,5,5,3,0,0,12,65,64,54,84.17,73,60
6,20,Male,University,Right,100,0,0,8,7,2,5,4,3,0,6,6,65,57,31,90.83,83,61.25
7,23,Male,University,Right,60,30,10,10,10,7,5,5,3,4,0,6,64,64,57,98.33,89,66.25
8,24,Female,University,Left,50,30,10,9,9,7,5,5,4,0,0,8,65,63,56,98.33,98,76.25
9,36,Female,Postgraduate,Right,30,60,10,9,9,7,5,5,4,5,0,11,65,65,60,98.33,96,75
10,25,Male,University,Right,30,60,10,8,10,7,5,5,3,6,0,6,62,65,50,94.17,97,71.25
11,24,Female,High School,Right,70,30,30,10,4,9,5,2,4,0,3,5,65,30,64,95,69,76.25
12,21,Female,University,Right,40,60,0,10,10,6,5,5,4,2,0,4,65,65,54,96.67,98,65
13,24,Female,University,Right,50,50,0,7,8,3,5,5,3,0,0,6,65,61,34,95.83,95,70
14,19,Female,University,Right,60,30,10,9,8,6,5,5,4,0,0,5,64,57,45,99.17,96,73.75
15,21,Female,High School,Right,40,30,20,8,7,6,5,5,4,0,0,5,65,60,47,96.67,94,68.75
16,24,Female,High School,Right,50,40,10,9,9,7,5,5,4,0,0,6,65,62,54,95,91,60
17,23,Female,High School,Right,60,30,10,9,9,7,5,4,3,0,2,5,65,53,45,96.67,88,65
18,19,Male,University,Right,20,80,0,10,10,7,5,5,4,0,0,4,62,63,40,96.67,94,71.25
19,21,Female,High School,Right,60,30,10,10,9,6,5,4,2,0,2,5,65,56,16,74.17,84,46.25
20,20,Female,High School,Right,70,10,20,10,5,4,5,3,2,0,3,5,65,20,23,93.33,72,58.75
21,26,Female,University,Right,20,70,10,9,10,5,5,5,3,6,0,8,62,65,44,95.83,99,61.25
22,25,Male,High School,Right,90,0,10,10,7,8,5,3,2,0,3,9,65,42,35,97.5,75,61.25
23,28,Female,Postgraduate,Right,30,30,20,10,10,7,5,5,3,0,2,10,65,54,44,91.67,91,70
24,26,Male,High School,Right,30,70,0,8,9,6,5,5,2,0,0,10,65,62,25,78.33,100,48.75
25,21,Female,Professional Training,Right,70,10,20,10,6,6,5,3,3,0,2,8,65,41,42,96.67,68,51.25
26,23,Female,University,Right,70,20,10,9,9,5,5,5,2,0,0,8,64,59,27,92.5,87,58.75
27,33,Female,Professional Training,Right,60,40,0,8,7,2,5,5,2,3,0,6,65,61,27,95,82,66.25
28,23,Male,University,Right,30,50,20,8,9,7,5,5,4,5,0,5,65,64,45,95,91,63.75
29,26,Female,University,Right,80,10,10,10,7,8,5,4,3,0,2,4,63,50,38,98.33,87,60
30,23,Female,Postgraduate,Right,60,10,30,10,7,6,5,4,4,0,2,6,62,45,37,95,89,61.25
31,45,Female,Postgraduate,Right,30,70,0,9,9,2,5,5,3,0,0,11,64,64,36,99.17,92,75
32,22,Female,High School,Left,40,50,10,8,10,6,5,5,3,3,0,4,65,64,50,92.5,99,73.75
33,23,Female,Professional Training,Right,50,40,10,8,9,7,5,5,4,0,0,6,65,63,51,94.17,87,55
34,27,Female,Postgraduate,Right,60,40,0,10,8,7,5,4,4,0,0,3,65,38,30,93.33,85,62.5
35,27,Female,University,Right,80,10,10,10,9,6,5,4,3,0,3,7,65,52,44,94.17,84,62.5
36,22,Female,High School,Right,80,10,10,10,4,1,5,2,1,0,3,5,65,31,19,94.17,67,55
37,19,Female,High School,Right,80,10,10,10,6,9,5,4,3,0,3,5,63,42,37,91.67,85,63.75
38,21,Female,High School,Right,70,20,10,10,7,8,5,4,3,0,3,6,65,60,62,95.83,75,65
39,22,Female,High School,Right,20,70,10,10,10,10,5,5,3,0,0,10,64,59,46,91.67,92,63.75
40,25,Female,University,Right,50,10,30,10,7,8,5,3,3,0,3,6,64,42,28,97.5,93,62.5
41,19,Female,High School,Right,60,20,20,10,7,8,5,3,3,0,3,5,65,43,44,90.83,78,62.5
42,20,Male,High School,Right,60,30,10,9,8,8,5,4,4,0,0,5,65,61,61,96.67,88,78.75
43,25,Male,Professional Training,Right,70,10,20,9,7,5,5,4,4,0,0,7,65,41,49,97.5,72,68.75
44,23,Female,Professional Training,Right,60,30,10,10,8,6,5,3,2,0,5,10,64,44,26,92.5,68,68.75
45,24,Female,Professional Training,Right,20,40,40,10,10,10,5,5,5,5,0,0,65,62,63,95,93,72.5
46,43,Female,Professional Training,Right,80,10,10,10,8,9,5,4,4,0,6,6,65,58,56,96.67,93,70
47,22,Female,University,Right,40,40,20,7,8,5,5,5,4,5,0,4,63,60,43,91.67,91,65
48,27,Male,University,Right,90,0,10,10,5,5,5,4,4,0,3,12,64,50,45,93.33,80,97.5
49,20,Female,University,Left,50,50,0,8,8,4,5,5,3,0,0,6,64,57,27,84.17,88,65
50,47,Male,Postgraduate,Right,40,50,10,10,8,5,5,5,4,0,6,3,65,65,50,97.5,100,75
51,30,Female,University,Right,40,40,20,10,10,8,5,5,4,0,3,8,64,56,54,92.5,80,65
